village_code,predicted_y_resnet,predicted_y_inception,actual_y
522210,2,1,2
564830,2,2,2
506732,2,2,2
507778,2,2,2
249115,1,1,1
601992,0,1,2
259345,0,0,1
406793,0,0,1
409624,0,1,1
511754,2,2,2
603180,0,0,0
387095,0,1,1
540284,2,2,0
224015,1,1,1
623211,2,2,2
606287,2,2,2
530903,2,0,1
219039,1,1,1
385169,0,1,2
237554,1,1,1
553507,2,2,2
397721,1,1,1
226036,1,1,1
547922,2,0,1
543368,0,2,2
428806,0,1,1
538728,2,2,2
566521,0,0,0
538154,0,2,1
553597,1,0,0
624456,2,2,2
386301,0,0,0
407004,0,0,1
623343,2,2,2
627777,0,0,0
617033,2,2,2
230341,1,0,1
605535,2,2,1
415612,0,0,0
221635,1,1,1
566871,0,0,0
386424,0,0,0
382893,0,0,0
620185,0,0,1
534638,2,1,2
415656,0,0,0
567922,0,2,2
554574,0,0,0
530947,2,2,2
412248,1,0,2
221002,1,1,1
555505,0,0,0
626483,2,2,2
216966,1,1,1
506879,2,2,2
251423,1,1,1
548969,2,0,2
607521,2,0,0
424529,0,0,1
223994,1,1,1
521298,1,0,1
406337,1,0,1
252825,1,1,1
614551,2,2,2
560799,0,2,2
611678,2,2,1
567944,2,2,2
612967,2,2,2
405184,0,0,0
561329,2,2,2
242841,0,0,0
515890,0,0,0
426870,0,1,1
511464,2,2,2
405838,0,0,0
532491,0,0,0
538194,2,2,1
613211,2,2,2
620609,2,2,2
427536,1,1,1
249391,1,1,1
602123,2,2,2
550589,2,2,2
422364,1,1,1
509090,2,2,2
409098,1,1,1
384536,0,2,1
427716,1,1,1
538111,0,0,1
554871,0,2,2
558976,0,0,1
521005,2,2,2
227694,1,1,1
544125,0,0,0
550903,0,0,0
411303,0,1,1
521576,0,0,1
393747,1,1,1
245038,1,1,1
252786,1,1,1
400465,0,0,0
414832,0,0,0
381826,1,1,1
429621,0,2,1
226890,1,1,1
544784,0,2,2
513802,0,2,2
380895,0,1,0
239006,0,2,2
534555,0,2,1
625149,2,2,1
398777,1,0,0
409175,0,0,1
224551,1,1,1
422515,0,0,1
219172,1,1,1
542619,0,2,1
414778,0,2,2
406152,0,0,0
560905,0,2,1
386296,0,0,0
540234,0,0,0
617670,0,0,0
516562,0,2,1
225877,1,1,1
566581,2,0,0
249934,1,1,1
422257,1,1,1
597864,2,2,1
528525,0,2,1
555586,0,0,0
254002,1,1,1
626187,2,2,1
614624,2,2,2
243249,1,1,1
260769,1,1,1
220159,1,1,1
384257,0,2,1
607206,0,0,0
519132,0,0,0
387332,1,1,1
511914,2,2,2
522960,0,2,2
599650,2,2,2
520783,0,1,1
623925,2,2,2
603753,0,0,0
608897,0,0,0
389966,0,0,0
528492,0,2,1
512397,2,1,1
384182,1,1,1
609599,2,2,1
426673,0,0,1
625832,2,2,2
550684,0,2,1
410014,2,2,2
427693,1,1,1
381341,1,1,1
232510,1,1,1
406083,0,2,2
516350,2,2,2
420118,0,1,1
521362,2,0,1
258409,1,0,0
517710,0,1,0
392085,0,1,1
256994,1,1,1
405035,0,0,0
621899,2,2,2
235795,1,1,1
536399,0,0,2
248312,1,1,1
549414,2,2,1
536080,2,2,2
622762,2,2,2
509386,2,2,2
388593,0,0,1
610316,2,2,2
606252,2,2,1
392015,1,1,1
549498,0,0,0
523384,0,2,1
524507,0,1,1
519691,0,1,1
555624,0,2,2
256078,1,1,1
405706,0,0,1
251186,1,1,1
418105,1,1,1
617140,2,2,2
236123,1,1,1
259056,0,0,0
623905,2,2,2
507025,2,2,2
229814,1,1,1
548313,2,2,2
565114,2,2,2
404660,1,2,1
392290,1,1,1
423470,0,0,1
529745,0,2,1
247216,1,1,1
247510,1,1,1
259129,1,1,1
427331,1,1,1
258205,0,2,2
529784,2,0,0
521293,0,1,1
254887,1,1,1
531630,0,0,0
601659,0,0,0
538999,0,0,0
390613,1,1,0
413744,0,0,0
619801,0,1,1
424255,0,2,1
416910,0,0,0
609013,0,0,0
243280,1,1,1
418201,0,0,1
603054,2,0,2
237007,1,1,1
258167,1,1,1
597176,0,1,0
223777,1,1,1
396395,0,2,1
219308,1,1,1
552733,0,2,2
545703,0,2,2
382849,0,0,0
251641,1,1,1
621876,0,0,0
385291,0,0,0
226550,1,1,1
389760,0,0,0
259572,0,0,0
222357,1,1,1
407674,1,1,1
516743,2,2,2
398445,2,0,2
406486,2,0,2
617481,0,0,0
393296,0,1,1
248432,1,1,1
240626,0,1,1
393893,1,1,1
389470,0,0,1
558499,2,2,2
524534,0,2,1
546760,0,0,1
422544,0,0,0
384370,1,1,1
240511,1,1,1
617859,0,0,0
549979,0,2,2
602894,0,0,0
259480,0,0,0
541968,0,0,0
229438,0,1,1
425257,0,1,1
249844,2,2,2
617117,0,2,1
409819,1,1,1
421763,0,0,0
600062,1,1,1
614091,2,2,2
558054,2,0,1
259261,0,2,2
254679,1,1,1
509079,2,2,2
243073,1,1,1
555131,0,0,2
544741,2,2,2
627059,0,0,0
219952,1,1,1
430887,0,0,0
526705,2,2,2
548193,0,2,2
550063,0,2,2
419495,1,1,1
404748,0,1,0
258406,1,1,1
566058,0,0,0
230782,1,1,1
525072,0,0,1
566361,0,0,0
421890,1,1,1
244388,1,2,1
235073,1,1,1
258341,2,0,1
396979,0,1,1
620028,0,2,1
600010,1,1,1
253030,1,1,1
394301,1,0,1
524781,0,2,0
523658,0,0,1
409102,1,1,1
235284,1,1,1
407249,0,0,0
411475,0,0,2
618194,2,2,2
537840,0,2,1
216446,0,1,1
413242,0,0,0
421309,1,1,1
229206,1,1,1
224154,1,1,1
619397,0,2,2
379839,0,2,1
420590,0,0,1
601233,2,2,2
506435,2,2,2
523371,0,0,1
398130,1,1,1
382552,1,1,1
612398,2,2,1
252103,1,1,1
252556,1,1,1
256662,1,1,1
529699,0,2,2
620434,0,0,0
511328,2,2,2
412393,0,1,1
422802,0,1,0
418362,1,1,1
519121,0,0,1
221145,1,1,1
403454,0,1,1
511946,2,2,2
388439,0,1,1
620972,0,2,1
252974,1,1,1
250524,0,0,0
518849,2,0,1
602308,0,2,2
597518,0,2,1
541544,2,0,0
554314,2,2,2
622566,2,2,1
622757,0,2,1
416585,0,0,0
237691,1,1,1
540367,0,0,0
397670,1,0,1
396157,0,1,1
551760,0,0,0
543634,0,0,2
515942,0,0,1
223640,1,1,1
423995,1,1,1
511348,2,2,2
240462,0,0,1
513689,2,2,2
241288,0,0,0
230685,1,1,1
218878,1,1,1
382746,1,1,1
380277,0,1,1
516207,2,2,2
229279,1,1,1
220259,1,1,1
230037,2,1,1
399086,0,0,0
513558,0,0,0
508582,2,2,2
626628,2,2,2
519482,0,2,1
608191,0,0,0
226601,1,1,1
243003,1,1,1
518980,0,0,1
382008,0,0,0
247140,1,1,1
384329,1,1,1
387494,0,1,0
614880,0,0,0
428225,1,1,1
563794,1,0,2
403027,0,0,0
409280,1,1,1
228321,1,1,1
409886,0,1,1
242222,0,0,0
529493,0,1,2
603507,0,0,0
537755,0,0,0
238857,1,1,1
508695,2,2,2
388725,1,1,1
414924,0,0,0
231326,1,1,1
216816,1,2,1
398306,1,0,1
418077,1,1,1
253441,1,1,1
226204,1,1,1
614285,2,2,2
566506,0,0,0
380711,2,1,1
545241,0,0,2
530310,1,0,1
523781,2,2,2
220147,1,1,1
239431,1,1,1
553519,0,0,1
217717,1,1,1
389057,0,1,1
599648,2,2,1
422609,1,1,1
546311,2,2,1
529346,0,2,2
610299,2,2,1
613018,1,2,1
229283,1,1,1
256691,1,1,1
423322,0,1,1
216861,1,1,1
417633,0,0,0
228945,1,1,1
393568,0,0,0
615455,2,2,2
